time,open,high,low,close,volume
2026-04-23 07:05:00+00:00,4712.572,4715.284,4709.461,4710.117,1093
2026-04-23 07:10:00+00:00,4710.084,4716.27,4709.08,4712.19,1128
2026-04-23 07:15:00+00:00,4712.17,4713.789,4709.133,4712.745,906
2026-04-23 07:20:00+00:00,4712.617,4713.202,4703.006,4705.662,1202
2026-04-23 07:25:00+00:00,4705.601,4709.862,4704.997,4706.118,980
2026-04-23 07:30:00+00:00,4705.98,4711.614,4703.557,4710.7,652
2026-04-23 07:35:00+00:00,4710.758,4713.372,4709.213,4709.546,801
2026-04-23 07:40:00+00:00,4709.458,4713.863,4708.541,4713.55,643
2026-04-23 07:45:00+00:00,4713.514,4720.451,4713.377,4720.215,804
2026-04-23 07:50:00+00:00,4720.394,4720.501,4715.635,4716.136,726
2026-04-23 07:55:00+00:00,4716.079,4720.078,4716.079,4718.977,640
2026-04-23 08:00:00+00:00,4719.093,4724.952,4718.934,4721.362,648
2026-04-23 08:05:00+00:00,4721.364,4723.159,4718.246,4718.825,819
2026-04-23 08:10:00+00:00,4718.882,4720.76,4717.661,4718.266,714
2026-04-23 08:15:00+00:00,4718.386,4721.28,4717.479,4720.417,619
2026-04-23 08:20:00+00:00,4720.237,4722.06,4717.014,4718.167,621
2026-04-23 08:25:00+00:00,4718.13,4720.827,4715.018,4715.484,688
2026-04-23 08:30:00+00:00,4715.43,4716.128,4708.525,4709.942,778
2026-04-23 08:35:00+00:00,4710.003,4711.007,4704.786,4707.9,1008
2026-04-23 08:40:00+00:00,4707.591,4709.086,4703.416,4704.025,864
2026-04-23 08:45:00+00:00,4703.965,4706.35,4701.448,4705.986,830
2026-04-23 08:50:00+00:00,4705.856,4707.35,4704.03,4704.745,696
2026-04-23 08:55:00+00:00,4704.82,4706.559,4703.265,4703.484,646
2026-04-23 09:00:00+00:00,4703.396,4703.803,4695.116,4696.956,1147
2026-04-23 09:05:00+00:00,4697.046,4700.621,4694.734,4695.507,1144
2026-04-23 09:10:00+00:00,4695.671,4700.683,4695.315,4697.094,804
2026-04-23 09:15:00+00:00,4697.071,4702.434,4695.515,4699.833,1130
2026-04-23 09:20:00+00:00,4699.895,4702.491,4699.273,4701.961,690
2026-04-23 09:25:00+00:00,4701.976,4702.891,4699.667,4700.794,594
2026-04-23 09:30:00+00:00,4700.734,4702.884,4700.429,4701.259,766
2026-04-23 09:35:00+00:00,4701.479,4702.905,4699.591,4700.644,708
2026-04-23 09:40:00+00:00,4700.47,4701.805,4698.85,4700.754,707
2026-04-23 09:45:00+00:00,4700.696,4702.206,4698.423,4699.03,689
2026-04-23 09:50:00+00:00,4699.003,4701.258,4694.901,4697.097,913
2026-04-23 09:55:00+00:00,4697.04,4699.89,4695.607,4697.423,651
2026-04-23 10:00:00+00:00,4697.357,4701.201,4696.306,4700.554,764
2026-04-23 10:05:00+00:00,4700.496,4701.686,4691.318,4691.527,837
2026-04-23 10:10:00+00:00,4691.587,4692.999,4685.161,4688.893,1251
2026-04-23 10:15:00+00:00,4688.825,4692.551,4688.305,4688.328,838
2026-04-23 10:20:00+00:00,4688.403,4690.654,4684.188,4687.331,1151
2026-04-23 10:25:00+00:00,4687.316,4691.964,4686.441,4686.693,877
2026-04-23 10:30:00+00:00,4686.789,4693.324,4684.222,4692.261,1031
2026-04-23 10:35:00+00:00,4692.199,4694.0,4689.735,4693.693,909
2026-04-23 10:40:00+00:00,4693.752,4696.858,4689.995,4690.827,923
2026-04-23 10:45:00+00:00,4690.764,4693.548,4689.574,4690.316,650
2026-04-23 10:50:00+00:00,4690.254,4691.92,4689.907,4691.463,589
2026-04-23 10:55:00+00:00,4691.455,4697.182,4691.177,4696.401,810
2026-04-23 11:00:00+00:00,4696.457,4700.126,4695.873,4698.436,962
2026-04-23 11:05:00+00:00,4698.529,4699.871,4695.637,4697.781,705
2026-04-23 11:10:00+00:00,4697.695,4700.028,4696.183,4697.93,752
2026-04-23 11:15:00+00:00,4697.895,4702.442,4696.456,4702.17,648
2026-04-23 11:20:00+00:00,4702.173,4703.188,4700.317,4701.159,624
2026-04-23 11:25:00+00:00,4701.387,4702.077,4697.232,4699.394,592
2026-04-23 11:30:00+00:00,4699.463,4701.405,4696.597,4697.489,791
2026-04-23 11:35:00+00:00,4697.659,4703.496,4697.314,4702.261,1036
2026-04-23 11:40:00+00:00,4702.197,4705.98,4701.904,4705.216,802
2026-04-23 11:45:00+00:00,4705.241,4710.764,4704.597,4706.211,1009
2026-04-23 11:50:00+00:00,4706.268,4715.167,4705.381,4714.785,1165
2026-04-23 11:55:00+00:00,4714.792,4720.862,4713.847,4720.463,1079
2026-04-23 12:00:00+00:00,4720.525,4732.589,4719.617,4730.499,2110
2026-04-23 12:05:00+00:00,4730.435,4738.942,4729.071,4729.861,2226
2026-04-23 12:10:00+00:00,4729.778,4735.624,4727.78,4729.116,1746
2026-04-23 12:15:00+00:00,4728.965,4734.518,4725.997,4731.691,1244
2026-04-23 12:20:00+00:00,4731.817,4733.799,4728.414,4732.743,1308
2026-04-23 12:25:00+00:00,4732.62,4735.013,4730.807,4733.069,826
2026-04-23 12:30:00+00:00,4732.883,4741.48,4732.883,4738.738,1039
2026-04-23 12:35:00+00:00,4738.557,4739.703,4735.749,4736.616,1277
