time,open,high,low,close,volume
2025-12-08 20:00:00+00:00,4187.041,4195.521,4184.951,4191.529,7988
2025-12-08 21:00:00+00:00,4191.561,4193.212,4188.287,4190.637,3664
2025-12-08 23:00:00+00:00,4190.116,4195.434,4190.116,4194.759,4529
2025-12-09 00:00:00+00:00,4194.764,4195.723,4189.958,4190.468,6060
2025-12-09 01:00:00+00:00,4190.506,4197.382,4188.812,4196.141,12435
2025-12-09 02:00:00+00:00,4196.061,4197.147,4186.017,4189.878,11192
2025-12-09 03:00:00+00:00,4189.907,4198.821,4189.907,4194.624,8881
2025-12-09 04:00:00+00:00,4194.549,4195.662,4184.452,4186.991,7550
2025-12-09 05:00:00+00:00,4186.99,4187.314,4178.138,4179.817,11724
2025-12-09 06:00:00+00:00,4179.86,4184.096,4170.121,4181.965,15154
2025-12-09 07:00:00+00:00,4182.09,4185.818,4175.829,4182.392,12632
2025-12-09 08:00:00+00:00,4182.368,4191.911,4182.368,4191.649,10979
2025-12-09 09:00:00+00:00,4191.691,4213.104,4190.808,4202.794,18903
2025-12-09 10:00:00+00:00,4202.76,4208.375,4201.274,4203.952,11618
2025-12-09 11:00:00+00:00,4203.989,4206.492,4201.224,4203.0,8290
2025-12-09 12:00:00+00:00,4203.045,4207.62,4198.545,4204.228,9149
2025-12-09 13:00:00+00:00,4204.276,4208.427,4195.787,4201.267,21238
2025-12-09 14:00:00+00:00,4201.334,4210.319,4189.415,4205.006,30039
2025-12-09 15:00:00+00:00,4204.962,4216.491,4190.123,4212.558,32162
2025-12-09 16:00:00+00:00,4212.499,4221.549,4210.166,4212.394,26247
2025-12-09 17:00:00+00:00,4212.402,4216.364,4201.601,4203.116,17830
2025-12-09 18:00:00+00:00,4203.0,4209.76,4201.239,4208.895,13805
2025-12-09 19:00:00+00:00,4208.938,4214.474,4207.108,4212.601,11276
2025-12-09 20:00:00+00:00,4212.564,4216.134,4208.944,4212.147,16669
2025-12-09 21:00:00+00:00,4212.105,4213.008,4207.255,4208.564,15191
2025-12-09 23:00:00+00:00,4208.231,4213.115,4207.828,4210.894,5974
2025-12-10 00:00:00+00:00,4210.828,4212.776,4207.086,4208.487,8129
2025-12-10 01:00:00+00:00,4208.436,4218.245,4206.949,4213.837,17958
2025-12-10 02:00:00+00:00,4213.81,4218.802,4211.56,4217.02,11293
2025-12-10 03:00:00+00:00,4216.986,4217.238,4203.789,4206.324,12017
2025-12-10 04:00:00+00:00,4206.402,4209.754,4205.542,4207.084,5821
2025-12-10 05:00:00+00:00,4206.972,4214.41,4201.794,4211.455,10196
2025-12-10 06:00:00+00:00,4211.45,4211.762,4203.091,4207.362,12485
2025-12-10 07:00:00+00:00,4207.402,4209.483,4203.253,4203.416,9789
2025-12-10 08:00:00+00:00,4203.381,4206.59,4197.047,4197.88,12604
2025-12-10 09:00:00+00:00,4197.845,4200.621,4192.566,4194.42,11677
2025-12-10 10:00:00+00:00,4194.377,4196.43,4187.753,4193.284,11632
2025-12-10 11:00:00+00:00,4193.255,4197.786,4192.582,4197.232,7398
2025-12-10 12:00:00+00:00,4197.278,4202.368,4195.268,4196.53,9062
2025-12-10 13:00:00+00:00,4196.561,4205.118,4192.946,4200.807,18032
2025-12-10 14:00:00+00:00,4200.843,4207.139,4191.375,4192.592,23594
2025-12-10 15:00:00+00:00,4192.627,4201.317,4188.981,4193.644,21859
2025-12-10 16:00:00+00:00,4193.683,4205.196,4192.821,4204.759,13291
2025-12-10 17:00:00+00:00,4204.796,4204.868,4196.927,4199.779,10017
2025-12-10 18:00:00+00:00,4199.791,4200.793,4191.959,4194.442,10593
2025-12-10 19:00:00+00:00,4194.405,4219.853,4181.707,4216.429,70045
2025-12-10 20:00:00+00:00,4216.396,4238.703,4211.012,4229.853,43346
2025-12-10 21:00:00+00:00,4229.825,4232.596,4221.22,4228.594,10222
2025-12-10 23:00:00+00:00,4230.186,4234.125,4224.044,4232.494,8206
2025-12-11 00:00:00+00:00,4232.472,4245.169,4231.322,4237.168,13723
2025-12-11 01:00:00+00:00,4237.168,4247.805,4233.021,4238.275,22261
2025-12-11 02:00:00+00:00,4238.308,4240.899,4220.416,4222.453,16646
2025-12-11 03:00:00+00:00,4222.333,4224.965,4209.382,4216.812,18417
2025-12-11 04:00:00+00:00,4216.762,4218.36,4208.614,4213.603,10459
2025-12-11 05:00:00+00:00,4213.491,4216.394,4206.179,4207.547,13052
2025-12-11 06:00:00+00:00,4207.568,4215.471,4204.268,4214.417,12952
2025-12-11 07:00:00+00:00,4214.382,4218.713,4210.544,4216.103,14463
2025-12-11 08:00:00+00:00,4216.077,4219.641,4212.843,4216.527,11871
2025-12-11 09:00:00+00:00,4216.5,4221.834,4210.351,4218.603,11265
2025-12-11 10:00:00+00:00,4218.55,4225.939,4211.755,4216.977,22977
2025-12-11 11:00:00+00:00,4216.947,4219.192,4209.693,4211.198,17526
2025-12-11 12:00:00+00:00,4211.221,4220.551,4208.812,4220.407,20790
2025-12-11 13:00:00+00:00,4220.458,4223.334,4205.216,4221.019,38383
2025-12-11 14:00:00+00:00,4221.084,4244.495,4217.88,4230.162,55556
2025-12-11 15:00:00+00:00,4230.239,4261.564,4226.118,4256.028,57911
2025-12-11 16:00:00+00:00,4255.957,4279.235,4250.118,4273.522,51702
2025-12-11 17:00:00+00:00,4273.6,4281.916,4272.128,4278.649,41275
2025-12-11 18:00:00+00:00,4278.627,4285.97,4266.804,4268.127,32139
2025-12-11 19:00:00+00:00,4268.157,4277.751,4262.986,4273.64,31404
2025-12-11 20:00:00+00:00,4273.615,4276.537,4264.251,4276.292,36665
2025-12-11 21:00:00+00:00,4276.251,4283.688,4272.549,4280.203,22241
2025-12-11 23:00:00+00:00,4282.953,4283.093,4272.429,4276.547,7392
2025-12-12 00:00:00+00:00,4276.495,4280.225,4268.811,4269.619,11055
2025-12-12 01:00:00+00:00,4269.648,4276.14,4264.762,4271.044,22330
2025-12-12 02:00:00+00:00,4271.01,4276.915,4269.411,4270.525,12374
2025-12-12 03:00:00+00:00,4270.553,4274.631,4268.734,4270.633,9466
2025-12-12 04:00:00+00:00,4270.59,4271.159,4266.315,4266.502,6750
2025-12-12 05:00:00+00:00,4266.521,4280.652,4266.109,4279.002,9851
2025-12-12 06:00:00+00:00,4279.151,4283.208,4276.653,4282.939,10289
2025-12-12 07:00:00+00:00,4282.822,4290.581,4281.361,4287.251,9989
2025-12-12 08:00:00+00:00,4287.129,4309.576,4287.023,4308.146,14669
2025-12-12 09:00:00+00:00,4308.119,4320.316,4306.829,4318.265,16328
2025-12-12 10:00:00+00:00,4318.303,4330.965,4314.766,4329.744,16139
2025-12-12 11:00:00+00:00,4329.792,4339.339,4327.006,4336.473,15971
2025-12-12 12:00:00+00:00,4336.442,4338.996,4324.778,4325.904,16678
2025-12-12 13:00:00+00:00,4325.868,4346.162,4321.346,4341.066,26788
2025-12-12 14:00:00+00:00,4341.022,4353.585,4330.706,4346.989,41124
2025-12-12 15:00:00+00:00,4346.96,4351.536,4283.106,4290.518,81305
2025-12-12 16:00:00+00:00,4290.47,4296.738,4256.982,4282.133,79294
2025-12-12 17:00:00+00:00,4282.158,4298.456,4271.145,4294.254,36366
2025-12-12 18:00:00+00:00,4294.296,4303.651,4290.485,4294.92,25836
2025-12-12 19:00:00+00:00,4294.959,4299.795,4289.814,4296.576,18317
2025-12-12 20:00:00+00:00,4296.551,4302.979,4288.427,4299.263,18864
2025-12-12 21:00:00+00:00,4299.309,4304.317,4298.203,4301.007,7020
2025-12-14 23:00:00+00:00,4300.549,4308.47,4299.884,4302.415,9969
2025-12-15 00:00:00+00:00,4302.467,4308.108,4300.103,4307.587,8805
2025-12-15 01:00:00+00:00,4307.565,4325.301,4305.807,4322.555,18303
2025-12-15 02:00:00+00:00,4322.51,4329.233,4320.914,4326.452,12524
2025-12-15 03:00:00+00:00,4326.421,4329.658,4319.482,4327.099,12125
2025-12-15 04:00:00+00:00,4327.179,4330.109,4323.116,4326.15,8563
2025-12-15 05:00:00+00:00,4326.153,4344.353,4324.733,4343.508,12546
2025-12-15 06:00:00+00:00,4343.477,4347.551,4339.753,4343.774,12408
2025-12-15 07:00:00+00:00,4343.667,4344.872,4333.644,4339.373,11598
2025-12-15 08:00:00+00:00,4339.345,4349.087,4338.945,4346.922,9610
2025-12-15 09:00:00+00:00,4346.875,4350.304,4342.35,4342.614,10150
2025-12-15 10:00:00+00:00,4342.601,4348.3,4337.769,4339.78,9800
2025-12-15 11:00:00+00:00,4339.663,4343.686,4335.429,4342.771,7891
2025-12-15 12:00:00+00:00,4342.845,4348.484,4342.698,4345.694,9084
2025-12-15 13:00:00+00:00,4345.66,4346.395,4330.848,4332.354,22149
2025-12-15 14:00:00+00:00,4332.315,4336.726,4317.37,4323.618,38409
2025-12-15 15:00:00+00:00,4323.579,4327.824,4311.457,4318.331,41012
2025-12-15 16:00:00+00:00,4318.363,4318.992,4285.204,4297.465,41574
2025-12-15 17:00:00+00:00,4297.439,4306.656,4290.714,4304.494,20226
2025-12-15 18:00:00+00:00,4304.46,4313.561,4300.014,4313.101,14416
2025-12-15 19:00:00+00:00,4313.084,4317.724,4307.889,4314.251,12785
2025-12-15 20:00:00+00:00,4314.2,4314.453,4299.486,4304.504,15168
2025-12-15 21:00:00+00:00,4304.474,4305.96,4300.774,4305.522,5318
2025-12-15 23:00:00+00:00,4307.416,4309.748,4303.343,4304.174,6149
2025-12-16 00:00:00+00:00,4304.156,4313.236,4302.726,4307.855,13276
2025-12-16 01:00:00+00:00,4307.886,4317.912,4299.099,4308.877,22736
2025-12-16 02:00:00+00:00,4308.853,4312.325,4286.484,4289.946,20955
2025-12-16 03:00:00+00:00,4289.972,4294.507,4280.595,4290.863,21594
2025-12-16 04:00:00+00:00,4290.891,4292.295,4286.567,4289.109,10150
2025-12-16 05:00:00+00:00,4289.182,4292.302,4271.641,4284.16,19165
2025-12-16 06:00:00+00:00,4284.209,4292.167,4282.554,4289.266,12684
2025-12-16 07:00:00+00:00,4289.231,4289.883,4279.54,4287.667,12288
2025-12-16 08:00:00+00:00,4287.601,4289.561,4275.45,4284.747,14736
2025-12-16 09:00:00+00:00,4284.791,4285.908,4276.405,4280.385,9192
2025-12-16 10:00:00+00:00,4280.414,4284.35,4274.758,4277.379,12029
2025-12-16 11:00:00+00:00,4277.341,4279.648,4273.776,4278.406,8657
2025-12-16 12:00:00+00:00,4278.446,4295.104,4276.75,4294.499,12621
2025-12-16 13:00:00+00:00,4294.527,4313.373,4290.874,4313.044,28502
2025-12-16 14:00:00+00:00,4313.002,4332.332,4311.429,4324.831,33425
2025-12-16 15:00:00+00:00,4324.796,4335.161,4312.318,4319.829,35952
2025-12-16 16:00:00+00:00,4319.782,4323.268,4291.056,4300.601,28850
2025-12-16 17:00:00+00:00,4300.637,4310.894,4300.119,4303.503,17087
2025-12-16 18:00:00+00:00,4303.47,4313.586,4298.085,4311.354,18545
2025-12-16 19:00:00+00:00,4311.361,4315.936,4297.406,4310.721,19460
2025-12-16 20:00:00+00:00,4310.7,4314.403,4302.841,4304.773,12682
2025-12-16 21:00:00+00:00,4304.733,4305.607,4300.717,4302.441,4810
2025-12-16 23:00:00+00:00,4302.959,4309.214,4301.78,4307.884,5885
2025-12-17 00:00:00+00:00,4307.929,4315.064,4307.391,4313.324,7072
2025-12-17 01:00:00+00:00,4313.224,4326.901,4311.444,4326.707,22166
2025-12-17 02:00:00+00:00,4326.76,4327.888,4311.228,4314.29,18158
2025-12-17 03:00:00+00:00,4314.327,4325.188,4312.688,4323.663,14160
2025-12-17 04:00:00+00:00,4323.694,4331.643,4320.47,4329.708,10015
2025-12-17 05:00:00+00:00,4329.669,4342.554,4328.086,4333.983,18310
2025-12-17 06:00:00+00:00,4334.012,4337.808,4324.878,4328.692,14930
2025-12-17 07:00:00+00:00,4328.65,4328.681,4315.579,4317.923,14762
2025-12-17 08:00:00+00:00,4317.822,4320.995,4308.3,4319.194,15043
2025-12-17 09:00:00+00:00,4319.096,4323.245,4316.001,4317.074,10024
2025-12-17 10:00:00+00:00,4317.031,4322.285,4306.477,4317.656,10040
2025-12-17 11:00:00+00:00,4317.69,4320.615,4315.204,4316.433,7756
2025-12-17 12:00:00+00:00,4316.481,4323.339,4314.945,4317.545,9204
2025-12-17 13:00:00+00:00,4317.495,4344.066,4315.114,4341.964,21883
2025-12-17 14:00:00+00:00,4342.029,4346.132,4322.88,4338.244,38481
2025-12-17 15:00:00+00:00,4338.25,4349.321,4324.12,4330.212,39765
2025-12-17 16:00:00+00:00,4330.263,4337.583,4320.336,4333.516,35140
2025-12-17 17:00:00+00:00,4333.565,4342.511,4328.6,4342.47,22646
2025-12-17 18:00:00+00:00,4342.498,4346.463,4328.949,4336.019,22185
2025-12-17 19:00:00+00:00,4335.977,4341.113,4330.339,4336.991,14548
2025-12-17 20:00:00+00:00,4336.959,4346.12,4335.187,4341.29,12240
2025-12-17 21:00:00+00:00,4341.385,4346.352,4338.294,4338.483,6815
2025-12-17 23:00:00+00:00,4340.135,4343.203,4335.686,4339.225,5259
2025-12-18 00:00:00+00:00,4339.174,4342.94,4333.121,4334.828,11334
2025-12-18 01:00:00+00:00,4334.827,4337.024,4324.198,4331.56,22828
2025-12-18 02:00:00+00:00,4331.558,4337.765,4329.876,4333.307,13936
2025-12-18 03:00:00+00:00,4333.26,4336.761,4330.838,4333.128,10507
2025-12-18 04:00:00+00:00,4333.179,4333.533,4328.6,4331.945,7326
2025-12-18 05:00:00+00:00,4331.836,4337.551,4331.134,4333.331,12055
2025-12-18 06:00:00+00:00,4333.278,4336.214,4330.752,4334.031,10593
2025-12-18 07:00:00+00:00,4333.977,4337.78,4330.021,4331.442,8962
2025-12-18 08:00:00+00:00,4331.403,4332.616,4321.823,4326.598,11583
2025-12-18 09:00:00+00:00,4326.604,4328.626,4320.608,4323.389,10323
2025-12-18 10:00:00+00:00,4323.336,4327.596,4321.986,4325.383,8060
2025-12-18 11:00:00+00:00,4325.336,4328.635,4324.386,4325.591,6771
2025-12-18 12:00:00+00:00,4325.596,4326.549,4317.161,4320.971,9876
2025-12-18 13:00:00+00:00,4320.852,4343.126,4314.569,4336.68,28761
2025-12-18 14:00:00+00:00,4336.615,4341.493,4308.669,4328.541,44816
2025-12-18 15:00:00+00:00,4328.587,4341.481,4324.77,4338.245,36459
2025-12-18 16:00:00+00:00,4338.289,4374.665,4337.806,4360.279,37128
2025-12-18 17:00:00+00:00,4360.329,4363.541,4321.716,4333.293,53782
2025-12-18 18:00:00+00:00,4333.332,4341.172,4325.692,4331.684,23655
2025-12-18 19:00:00+00:00,4331.713,4334.875,4322.752,4324.968,20026
2025-12-18 20:00:00+00:00,4325.016,4338.158,4324.504,4334.73,17230
2025-12-18 21:00:00+00:00,4334.68,4334.732,4328.468,4332.298,5845
2025-12-18 23:00:00+00:00,4335.766,4336.951,4333.482,4335.168,4254
2025-12-19 00:00:00+00:00,4335.194,4335.836,4325.654,4326.043,7649
2025-12-19 01:00:00+00:00,4326.082,4328.419,4309.295,4323.29,24822
2025-12-19 02:00:00+00:00,4323.335,4327.847,4314.297,4316.841,13102
2025-12-19 03:00:00+00:00,4316.882,4322.567,4312.872,4318.048,12898
2025-12-19 04:00:00+00:00,4318.055,4323.027,4316.924,4322.813,8122
2025-12-19 05:00:00+00:00,4322.799,4329.111,4317.619,4325.942,11697
2025-12-19 06:00:00+00:00,4325.983,4329.549,4321.84,4326.387,13047
2025-12-19 07:00:00+00:00,4326.482,4329.574,4321.691,4322.78,11002
